"link","location","floorTower","netSqft","pricePerSqft","priceHKDMillions","bedrooms","bathrooms","agent","tags"
"https://www.28hse.com/en/buy/apartment/property-4026383","Tung Chung Caribbean Coast","High Floor,TOWER 8,Phase 2 Albany Cove","904","11482","10.38","3",,"Midland Realty","3 Bedrooms North west Apartment CK Asset Good view Simple VR"
"https://www.28hse.com/en/buy/apartment/property-4026381","Yuen Long Park Yoho","Unit A,Mid Floor,TOWER 5A,PARK YOHO VENEZIA","945","12042","11.38","3","3","Midland Realty International Limited","3 Bedrooms , 3 Bathrooms South east Apartment SHKP"
"https://www.28hse.com/en/buy/apartment/property-4026304","Pak Shek Kok Centra Horizon","Unit J,High Floor,TOWER 9","1019","14112","14.38","3",,"Midland Realty International Limited","3 Bedrooms Apartment Garden view Elegant"
"https://www.28hse.com/en/buy/apartment/property-4026248","Tsuen Wan City Point","Unit F,Mid Floor,BLOCK 2","913","16210","14.8",,,"Midland Reality","Apartment CK Asset Sea view"
"https://www.28hse.com/en/buy/apartment/property-4026209","Tsuen Wan Sham Tseng Bellagio","Unit B,Mid Floor,TOWER 2","935","12813","11.98","3","2","Midland Realty International Limited","3 Bedrooms , 2 Bathrooms South west Apartment Wheelock"
"https://www.28hse.com/en/buy/apartment/property-4026150","Tai Po Emerald Palace","Unit B,Low Floor,BLOCK 1","1497","9085","13.6","3","3","Midland Realty","3 Bedrooms , 3 Bathrooms East Apartment Include Powder Room"
"https://www.28hse.com/en/buy/apartment/property-4025801","Tung Chung Caribbean Coast","Unit A,High Floor,TOWER 16,Phase 4 Crystal Cove","912","10855","9.9","3","2","Ricacorp Properties","3 Bedrooms , 2 Bathrooms North east Apartment CK Asset Good view Sea view Maid bedroom Clubhouse MTR nearby Shopping Mall nearby"
"https://www.28hse.com/en/buy/apartment/property-4025725","Fotan The Palazzo","Unit C,High Floor,TOWER 7","906","16556","15","3","2","Midland Realty","3 Bedrooms , 2 Bathrooms Apartment Sino Good school zone Clubhouse Maid bedroom Shopping Mall nearby Ensuite MTR nearby Balcony"
"https://www.28hse.com/en/buy/apartment/property-4025559","Tung Chung The Visionary","Unit E,High Floor,TOWER 1,BUILDING","1035","12077","12.5","3","2","Midland Realty","3 Bedrooms , 2 Bathrooms North west Apartment Nan Fung Elegant Good view Shopping Mall nearby Balcony Clubhouse"
"https://www.28hse.com/en/buy/apartment/property-4025327","Tuen Mun Castle Peak Road Spring Seaview Terrace","Mid Floor,BLOCK A","949","12434","11.8","4","3","Earnest Property Agency Ltd","4 Bedrooms , 3 Bathrooms South west Apartment Indoor Car Park Maid bedroom Shopping Mall nearby Clubhouse Ensuite Elegant Sea view"
"https://www.28hse.com/en/buy/apartment/property-4025315","Tuen Mun Castle Peak Road Spring Seaview Terrace","Mid Floor,BLOCK A","949","12434","11.8","3","2","Century 21 Sky On Properties","3 Bedrooms , 2 Bathrooms Apartment Good view Sea view Elegant Indoor Car Park Balcony Ensuite Maid bedroom Good school zone"
"https://www.28hse.com/en/buy/apartment/property-4025119","Tsuen Wan The Cairnhill","Unit A,Mid Floor,BLOCK 8,PHASE 1","1008","11687","11.78","3","2","Midland Realty International Limited","3 Bedrooms , 2 Bathrooms South Apartment Elegant"
"https://www.28hse.com/en/buy/apartment/property-4025060","Tsuen Wan Sham Tseng Hong Kong Garden","Unit B,High Floor,BLOCK 22,PHASE 3","1381","9993","13.8","3","3","Midland Realty International Limited","3 Bedrooms , 3 Bathrooms South Apartment Chinachem"
"https://www.28hse.com/en/buy/apartment/property-4025016","Fanling The Green","Whole Block,POPLAR DRIVE","1328","9488","12.6","3",,"Midland","3 Bedrooms Apartment China Overseas"
"https://www.28hse.com/en/buy/apartment/property-4024819","Shatin Dragons Range","Mid Floor,TOWER 3,COURT C","944","12659","11.95","3","3","中聯物業行有限公司","3 Bedrooms , 3 Bathrooms Apartment Kerry Mountain view Good view"
"https://www.28hse.com/en/buy/apartment/property-4024694","Tuen Mun Castle Peak Road Avignon","Unit D,High Floor,TOWER 1,大廈","1494","10710","16","4","2","Midland Realty International Limited","4 Bedrooms , 2 Bathrooms Apartment SHKP Indoor Car Park"
"https://www.28hse.com/en/buy/apartment/property-4024663","Tuen Mun Castle Peak Road The Bloomsway","Unit B,Low Floor,TOWER 12,THE LAGUNA","905","9392","8.5","3","2","Centaline Property Agency Limited","3 Bedrooms , 2 Bathrooms South west Apartment Kerry low price VR"
"https://www.28hse.com/en/buy/apartment/property-4024519","Tuen Mun Castle Peak Road Tsing Yung Terrace","Unit F,High Floor,TOWER 3","962","8212","7.9","4","3","Earnest Property Agency Ltd","4 Bedrooms , 3 Bathrooms South Apartment Balcony Ensuite Maid bedroom Sea view Indoor Car Park"
"https://www.28hse.com/en/buy/apartment/property-4024482","Sheung Shui Eden Manor","Unit B,Mid Floor,TOWER 2,BUILDING","1109","13345","14.8","4",,"Midland Reality","4 Bedrooms Apartment Henderson"
"https://www.28hse.com/en/buy/apartment/property-4024479","Sheung Shui Eden Manor","Unit B,Mid Floor,TOWER 2,BUILDING","1109","13526","15","4",,"Centaline Property Agency Limited","4 Bedrooms Apartment Henderson"
