"location","area","district","floorTower","netSqft","pricePerSqft","priceHKDMillions","bedrooms","bathrooms","agent","link","buildingAge","occupationDate","ageConfidence","ageSource","estMonthlyRentHKD","estGrossYieldPct"
"Happy Valley Sing Woo Building","Happy Valley","Wan Chai","Middle Floor","930","11290","10.5","2","2","Hong Kong Property","https://www.28hse.com/en/buy/apartment/property-4012036","65","Apr 1961","Medium","28Hse listing","29760","3.40"
"Happy Valley Yuk Sing Building","Happy Valley","Wan Chai","Low Floor","976","14242","13.9","3","2","Hong Kong Property","https://www.28hse.com/en/buy/apartment/property-4012011","50","Sep 1976","Medium","28Hse listing","31232","2.70"
"Causeway Bay Bay View Mansion","Causeway Bay","Wan Chai","High Floor,Block B","900","9778","8.8","3","2","Armourart Property Agency Ltd.","https://www.28hse.com/en/buy/apartment/property-3997716","60","Dec 1966","Medium","28Hse listing","28800","3.93"
"Quarry Bay Elegance House","Quarry Bay","Eastern","Unit A2,Mid Floor,Elegance House","1518","10408","15.8","3","2","Elegant Property Agency Ltd","https://www.28hse.com/en/buy/apartment/property-3926331","65","1961","Medium","28Hse listing","45540","3.46"
"Causeway Bay Towning Mansion","Causeway Bay","Wan Chai","Mid Floor,Twoning Mansion","1112","13040","14.5","3","2","Victoria Harbor Property Agency","https://www.28hse.com/en/buy/apartment/property-3929074","68","1958","Medium","28Hse listing","35584","2.94"
"North Point City Garden","North Point","Eastern","Mid Floor,BLOCK 11","1062","13653","14.5","4","3","Shun Tak Property Agency Company Limited","https://www.28hse.com/en/buy/apartment/property-3960571","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","31860","2.64"
"Causeway Bay Bay View Mansion","Causeway Bay","Wan Chai","High Floor,Block B","900","9778","8.8","3","1","Hoi Fu Property","https://www.28hse.com/en/buy/apartment/property-4002849","60","Dec 1966","Medium","28Hse listing","28800","3.93"
"Causeway Bay Towning Mansion","Causeway Bay","Wan Chai","Mid Floor,Twoning Mansion","1112","13040","14.5","4","2","Blossom Ltd","https://www.28hse.com/en/buy/apartment/property-3955156","68","1958","Medium","28Hse listing","35584","2.94"
"North Point City Garden","North Point","Eastern","Mid Floor,BLOCK 5","931","15553","14.48","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3923269","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","27930","2.31"
"Quarry Bay Ritz Garden Apartments","Quarry Bay","Eastern","Unit ST-909,Low Floor,NOS.909, 911, 937-939","1097","9116","10","4","1","Ka Wong Property Agency","https://www.28hse.com/en/buy/apartment/property-3385488","68","Mar 1957","Medium","28Hse listing","32910","3.95"
"Tin Hau Gordon House","Tin Hau","Wan Chai","B","1141","11394","13","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-4026329","68","Jun 1959","Medium","28Hse listing","36512","3.37"
"Happy Valley 18 Tung Shan Terrace","Happy Valley","Wan Chai","Unit D,High Floor,18 Tung Shan Terrace","980","14061","13.78","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-4025333","29","Nov 1996","Medium","28Hse listing","31360","2.73"
"Causeway Bay Lunar Building","Causeway Bay","Wan Chai","Unit B,High Floor,Lunar Building","936","9936","9.3","4","1","Jc Property Management Limited","https://www.28hse.com/en/buy/apartment/property-3844535","63","1963","Medium","28Hse listing","29952","3.86"
"Sai Ying Pun Hing Wah Mansion","Sai Ying Pun","Central and Western","Unit M2,Mid Floor,Hing Wah Mansion","1509","9940","15",,,"Homewise Realty Limited","https://www.28hse.com/en/buy/apartment/property-3989753","63","Mar 1963","Medium","28Hse listing","43761","3.50"
"North Point City Garden","North Point","Eastern","Unit A,Low Floor,BLOCK 7","1010","12772","12.9","3","2","Ricacorp Properties","https://www.28hse.com/en/buy/apartment/property-4024595","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","30300","2.82"
"North Point City Garden","North Point","Eastern","Unit E,High Floor,BLOCK 10","1012","14822","15","3","2","Ricacorp Properties","https://www.28hse.com/en/buy/apartment/property-3989659","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","30360","2.43"
"Sheung Wan Nam Pak Hong Building","Sheung Wan","Central and Western","Mid Floor,Nam Pak Hong Building","923","11701","10.8","3","3","New","https://www.28hse.com/en/buy/apartment/property-3960146","56","1970","Medium","28Hse listing","26767","2.97"
"Tin Hau Dragon Court","Tin Hau","Wan Chai","Low Floor,BLOCK A","1143","13123","15","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3547393","45","Jun 1980","Medium","28Hse listing","36576","2.93"
"North Point City Garden","North Point","Eastern","Low Floor,BLOCK 4","942","16030","15.1","3","2","Sunrise Property Agency Limited","https://www.28hse.com/en/buy/apartment/property-2760435","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","28260","2.25"
"Happy Valley Blue Pool Mansion","Happy Valley","Wan Chai","Mid Floor,Blue Pool Mansion","1288","11863","15.28","3","2","Professional Properties Co.","https://www.28hse.com/en/buy/apartment/property-4023199","67","Mar 1959","Medium","28Hse listing","41216","3.24"
"Baguio Villa","Baguio Villa","Southern","Unit B,High Floor,BLOCK 22","906","14879","13.48","2","2","Ricacorp Properties Limited","https://www.28hse.com/en/buy/apartment/property-4013431","47","1979","High","Wikipedia","24462","2.18"
"Quarry Bay Mount Parker Lodge","Quarry Bay","Eastern","Unit 1,High Floor,BLOCK E","1040","14423","15","3","2","Guide Property Limited","https://www.28hse.com/en/buy/apartment/property-4022215","37","Oct 1989","Medium","28Hse listing","31200","2.50"
"North Point Mid Kent Mansion","North Point","Eastern","Mid Floor,Kent Mansion","962","14948","14.38","3","2","Ricacorp Properties","https://www.28hse.com/en/buy/apartment/property-3948239","65","1961","Medium","28Hse listing","28860","2.41"
"Happy Valley Pine Gardens","Happy Valley","Wan Chai","11A","1122","14260","16",,,"First Residence (real Estate) Agency Limited","https://www.28hse.com/en/buy/apartment/property-3662143","62","Dec 1963","Medium","28Hse listing","35904","2.69"
"Causeway Bay Leigyinn Building","Causeway Bay","Wan Chai","60C","1025","9463","9.7","3","1","Top Bright Realty Agency","https://www.28hse.com/en/buy/apartment/property-3978925","65","1961","Medium","28Hse listing","32800","4.06"
"North Point Mid Maiden Court","North Point","Eastern","Low Floor,Block A","992","16129","16","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3595713","45","Oct 1980","Medium","28Hse listing","29760","2.23"
"North Point City Garden","North Point","Eastern","High Floor,BLOCK 10","1012","14802","14.98",,,"Century 21 Sunrise Property Agency Limited","https://www.28hse.com/en/buy/apartment/property-1780020","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","30360","2.43"
"Causeway Bay Waldorf Mansion","Causeway Bay","Wan Chai","Low Floor,Waldorf Mansion","1173","8517","9.99","4","4","Sirius Property World One Company Limited","https://www.28hse.com/en/buy/apartment/property-4018641","62","Jul 1964","Medium","28Hse listing","37536","4.51"
"Western Mid-levels Hanwin Mansion","Western Mid-levels","Central and Western","Unit C,Mid Floor,Hanwin Mansion","946","15856","15",,,"First Residence (real Estate) Agency Limited","https://www.28hse.com/en/buy/apartment/property-3450503","59","Sep 1965","Medium","28Hse listing","27434","2.19"
"Wan Chai Miramar Villa","Wan Chai","Wan Chai","West Wing 2","944","12712","12","3","1","景泰物業顧問有限公司","https://www.28hse.com/en/buy/apartment/property-3933789","56","Jul/Oct 1969","Medium","28Hse listing","30208","3.02"
"Tin Hau Kiu Hing Mansion","Tin Hau","Wan Chai","Low Floor,Kiu Hing Mansion","1109","9468","10.5","3","2","Omura Property Limited","https://www.28hse.com/en/buy/apartment/property-3959083","60","Jan 1966","Medium","28Hse listing","35488","4.06"
"North Point Bedford Gardens","North Point","Eastern","High Floor,PAK LEE COURT","1160","11017","12.78","4","2","Century 21 Sunrise Property Agency Limited","https://www.28hse.com/en/buy/apartment/property-4014420","45","Mar 1981","Medium","28Hse listing","34800","3.27"
"Tin Hau Dragon Court","Tin Hau","Wan Chai","Mid Floor,BLOCK C","1143","13106","14.98","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3987115","45","Jun 1980","Medium","28Hse listing","36576","2.93"
"Tin Hau Dragon Court","Tin Hau","Wan Chai","Low Floor,BLOCK A","1143","13123","15","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3845700","45","Jun 1980","Medium","28Hse listing","36576","2.93"
"North Point City Garden","North Point","Eastern","Low Floor,BLOCK 7","1010","12733","12.86","3","2","Sunrise Property Agency Limited","https://www.28hse.com/en/buy/apartment/property-3795822","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","30300","2.83"
"North Point City Garden","North Point","Eastern","High Floor,BLOCK 10","1012","14822","15","3","2","Sunrise Property Agency Limited","https://www.28hse.com/en/buy/apartment/property-3989932","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","30360","2.43"
"North Point Comfort Gardens","North Point","Eastern","Unit D,High Floor,BLOCK A","1003","13958","14","3","2","Richland Realty Consultants Ltd(johnston Road Branch)","https://www.28hse.com/en/buy/apartment/property-3968416","52","Nov 1974","Medium","28Hse listing","30090","2.58"
"North Point Mid Kent Mansion","North Point","Eastern","Low Floor,Kent Mansion","962","11310","10.88","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3948132","65","1961","Medium","28Hse listing","28860","3.18"
"Fortress Hill Cornell Court","Fortress Hill","Eastern","High Floor,CORNELL COURT","932","16631","15.5","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3464309","40","Dec 1984","Medium","28Hse listing","27960","2.16"
"Tin Hau Dragon Court","Tin Hau","Wan Chai","Low Floor,BLOCK A","1143","13123","15","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3546034","45","Jun 1980","Medium","28Hse listing","36576","2.93"
"Pok Fu Lam 22 Crown Terrace","Pok Fu Lam","Southern","Crown Platform 18","1035","13333","13.8","2","2","Midland Realty International Limited","https://www.28hse.com/en/buy/apartment/property-4007080","61","Jan 1965","Medium","28Hse listing","27945","2.43"
"North Point City Garden","North Point","Eastern","Unit A,Low Floor,BLOCK 13","1049","15253","16","3","2","Ricacorp Properties","https://www.28hse.com/en/buy/apartment/property-4006755","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","31470","2.36"
"Western Mid-levels Minerva House","Western Mid-levels","Central and Western","Unit ST-28,Mid Floor,Minerva House","983","14242","14","4","2","Golden Stars Property","https://www.28hse.com/en/buy/apartment/property-4006741","67","Sep 1959","Medium","28Hse listing","28507","2.44"
"Causeway Bay Lei Shun Court","Causeway Bay","Wan Chai","Full floor","970","8866","8.6","4","1","Guide Property Limited","https://www.28hse.com/en/buy/apartment/property-3978929","67","Dec 1958","Medium","28Hse listing","31040","4.33"
"Tin Hau Victoria Tower","Tin Hau","Wan Chai","Low Floor,Victoria Tower","932","17167","16","4","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-4006176","36","Oct 1990","Medium","28Hse listing","29824","2.24"
"North Point City Garden","North Point","Eastern","Low Floor,BLOCK 7","1010","12455","12.58","3","2","Topstar Property","https://www.28hse.com/en/buy/apartment/property-3896636","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","30300","2.89"
"Causeway Bay Waldorf Mansion","Causeway Bay","Wan Chai","Unit A,Low Floor,Waldorf Mansion","1173","8184","9.6","3","3","Richland Realty Consultants Ltd(johnston Road Branch)","https://www.28hse.com/en/buy/apartment/property-3964427","62","Jul 1964","Medium","28Hse listing","37536","4.69"
"Tin Hau Victoria Tower","Tin Hau","Wan Chai","Low Floor,Victoria Tower","932","17167","16","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-4002611","36","Oct 1990","Medium","28Hse listing","29824","2.24"
"North Point City Garden","North Point","Eastern","Unit E,High Floor,BLOCK 10","1012","14822","15","3","2","Century 21 Sunrise Property Agency Limited","https://www.28hse.com/en/buy/apartment/property-3982234","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","30360","2.43"
"North Point Comfort Gardens","North Point","Eastern","Unit C,Mid Floor,BLOCK A","1003","13958","14","3","2","Ricacorp Properties","https://www.28hse.com/en/buy/apartment/property-3995430","52","Nov 1974","Medium","28Hse listing","30090","2.58"
"North Point City Garden","North Point","Eastern","High Floor,BLOCK 10","1012","14625","14.8","3","2","Sunrise Property Agency Limited","https://www.28hse.com/en/buy/apartment/property-3999006","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","30360","2.46"
"North Point Mid Kent Mansion","North Point","Eastern","Low Floor,Kent Mansion","962","10790","10.38","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3948196","65","1961","Medium","28Hse listing","28860","3.34"
"Western Mid-levels Merry Court","Western Mid-levels","Central and Western","Unit F,Mid Floor,Merry Court","1094","13528","14.8","3","2","Homewise Realty Limited","https://www.28hse.com/en/buy/apartment/property-3989658","50","Jan 1971","Medium","28Hse listing","31726","2.57"
"North Point Mid Ho King View","North Point","Eastern","Unit B,Mid Floor,Ho King View","1081","13302","14.38","3","2","Ricacorp Properties","https://www.28hse.com/en/buy/apartment/property-3945959","55","Jan 1971","Medium","28Hse listing","32430","2.71"
"North Point Mid Ho King View","North Point","Eastern","Unit B,Mid Floor,Ho King View","1081","13302","14.38","3","2","Ricacorp Properties","https://www.28hse.com/en/buy/apartment/property-3980454","55","Jan 1971","Medium","28Hse listing","32430","2.71"
"Causeway Bay Lai Chi Building","Causeway Bay","Wan Chai","1","998","7816","7.8",,,"Dynasty Estate Agency Limited","https://www.28hse.com/en/buy/apartment/property-3995231","67","c.1956–58 (source inconsistent)","Low","28Hse listing (internally inconsistent dates)","31936","4.91"
"Happy Valley Zenith Mansion","Happy Valley","Wan Chai","Full-thickness","1260","11746","14.8","3","2","Charming Property Limited","https://www.28hse.com/en/buy/apartment/property-3595092","66","Nov 1959","Medium","28Hse listing","40320","3.27"
"Happy Valley Yuk Sing Building","Happy Valley","Wan Chai","Mid Floor,Yuk Sing Building","976","14221","13.88","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3993582","50","Sep 1976","Medium","28Hse listing","31232","2.70"
"Tin Hau Ernest Court","Tin Hau","Wan Chai","High Floor,Ernest Court","906","11369","10.3","3","2","Chun King Property Agency Limited","https://www.28hse.com/en/buy/apartment/property-3992888","62","1964","Medium","28Hse listing","28992","3.38"
"North Point Mid Kent Mansion","North Point","Eastern","Low Floor,Kent Mansion","962","10343","9.95","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3948188","65","1961","Medium","28Hse listing","28860","3.48"
"North Point City Garden","North Point","Eastern","Low Floor,BLOCK 7","1010","12426","12.55","3","2","Lik Ka Property Consultant Company Limited","https://www.28hse.com/en/buy/apartment/property-3607263","43","Dec 1982 (phased 1983–86)","High","28Hse listing + Chinese Wikipedia (城市花園)","30300","2.90"
"Causeway Bay Waldorf Mansion","Causeway Bay","Wan Chai","Low Floor,Waldorf Mansion","1173","8176","9.59","4","2","Guide Property Limited","https://www.28hse.com/en/buy/apartment/property-3988129","62","Jul 1964","Medium","28Hse listing","37536","4.70"
"Quarry Bay Kornhill","Quarry Bay","Eastern","Low Floor,BLOCK J","902","14058","12.68","3",,"Ricacorp Properties","https://www.28hse.com/en/buy/apartment/property-3951500","39","1985–88 (phased)","High","28Hse listing + Chinese Wikipedia (康怡花園)","27060","2.56"
